,OBJECT,LAT,LON,ALTITUDE,ALT_NORM,NEAR_TEMPLE,NEAR_BATTLE_SITE,NEAR_ANCIENT_HARBOR,NEAR_POLIS,NEAR_MODERN_CITY,CLASSIFICATION
236,Object type: pyxis,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
237,Object type: moulding,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
238,Object type: hydria,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
239,Object type: oinochoe,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
240,Object type: plaque,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
241,Object type: unguentarium,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
242,Object type: bowl,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
243,Object type: weight,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
244,Object type: stela; funerary equipment,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
245,Object type: brazier,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
246,Object type: figure; coffin-fitting,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
247,Object type: coin,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
248,Object type: cup,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
249,Object type: tile,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
250,Object type: lamp-stand; lamp,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
251,Object type: scaraboid,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
252,Object type: amphora,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
253,Object type: relief,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
254,Object type: statue,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
255,Object type: statue,37.6384588,21.6298796,32.37870407,1,1,0,1,1,0,1
